item_number,source_number_in_text,english_gloss,phonetic_form,phonemic_form,alignment_note
650,648,Entrance hut,[èkwá],/óbhóráʒé/,
651,649,Courtyard,[èkwá],/òtúmákpèré/,
652,650,Fence (n),[rèkpányí],/íʒání ʒùmá/,
653,651,Fence in (v),[ńyáng-ísọ-nyá],/úhúbọ/,
654,652,Well (n),[óbhóráʒé],/mórọ/,
655,653,Bathing place,[òtúmákpèré],/táná/,
656,654,"Latrine, toilet",[íʒání ʒùmá],/òsè/,
657,655,Garbage dump,[úhúbọ],/ítọnè/,
658,656,Garden,[mórọ],/íhóré/,
659,657,Shelter,[táná],/zírọ/,
660,658,Build,[òsè],/òkpátàrá/,
661,659,"Mark out, peg out",[ítọnè],/ékwà/,
662,660,Mud block,[íhóré],/èsé/,
663,661,Thatch,[zírọ],/òfíọ/,
664,662,Plaster,[òkpátàrá],/réhónọ/,
665,663,Paint,[ékwà],/ótóríkáng/,
666,664,Ladder,[èsé],/ówéí/,
667,665,Chair,[òfíọ],/égányá/,
668,666,Stool,[réhónọ],/míá-ègányá/,
669,667,Bed,[ótóríkáng],/námòvénọ/,
670,668,Mat,[ówéí],/nàngọtọmọ/,
671,669,"Lamp, torch",[égányá],/dódówá/,
672,670,Fan,[míá-ègányá],/èkpàì óʒírá/,
673,671,,[námòvénọ],/gbépì/,
674,672,Ring (bell),[nàngọtọmọ],/gbépì/,
675,673,"Act, do",[dódówá],/òsásè,
676,674,Work,[èkpàì óʒírá],/ésé/,
677,675,"Mend, repair",[gbépì],/hùmá- ésé/,
678,676,Hammer,[gbépì],/héví/,
679,677,Lump (clay mud),[òsásè],/èwù-ésé/,
680,678,Mould,[ésé],/járò/,
681,679,Potter‟s kiln,[hùmá- ésé],/járò/,
682,680,Wood,[héví],/járò/,
683,681,Cut down(tree),[èwù-ésé],/ésé/,
684,682,Log,[járò],/βób/,
685,683,Axe,[járò],/òfàfá/,
686,684,Chop into pieces,[járò],/éwo  ì/,
687,685,Saw (n),[ésé],/húm/,
688,686,Saw (wood),[βób],/ágà/,
689,687,Plank,[òfàfá],/rèká/,
690,688,Knot,[éwo  ì],/súmáyò/,
691,689,Chisel(n),[húm],/úʃì/,
692,690,Nail(n),[ágà],/ʤàá/,
693,691,Sew,[rèká],/nó/,
694,692,Needle,[súmáyò],/égò/,
695,693,Thread,[úʃì],/òtùm- égò/,
696,694,Hem,[ʤàá],/íwát/,
697,695,Pocket,[nó],/támévén/,
698,696,(be) torn,[égò],/súúré/,
699,697,Weave,[òtùm- égò],/jáí/,
700,698,Cloth,[íwát],/hówá/,
701,699,Rag,[támévén],/mé-ímá/,
702,700,Broom,[súúré],/tòó/,
703,701,Sweep,[jáí],/ɔ túmàkpéré/,
704,702,Polish,[hówá],/ìzàm-ɔ wàb/,
705,703,"Wash (clothes,utensils)",[mé-ímá],/rèhóró/,
706,704,Draw water,[tòó],/úkɔ /,
707,705,Fetch(firewood),[ɔ túmàkpéré],/énédémé-a-ízòí/,
708,706,Dig,[ìzàm-ɔ wàb],/  kàmɔ /,
709,707,Rubbish,[rèhóró],/ízàm/,
710,708,"Cultivate, farm",[úkɔ ],/wábò/,
711,709,Field,[énédémé-a-ízòí],/tóré- wábò/,
712,710,Boundary,[  kàmɔ ],/βá-íʃín/,
713,711,Fertile,[ízàm],/èhɔ b- íʃín/,
714,712,(be)barren(of land),[wábò],/βáyò/,
715,713,Clear,[tóré- wábò],/éhɔ -sákpóyó/,
716,714,"Sow, plant",[βá-íʃín],/  màr  -óróm/,
717,715,Transplant,[èhɔ b- íʃín],/ító/,
718,716,Weed,[βáyò],/kɔ -  d  r  /,
719,717,Hoe (V),[éhɔ -sákpóyó],/ítótó/,
720,718,Hoe (n),[  màr  -óróm],/kpáí/,
721,719,Big hoe,[ító],/zíjá bùtó/,
722,720,"Matchete, cutlass",[kɔ -  d  r  ],/kpé-  r  sì/,
723,721,Harvest season,[ítótó],/hún-   r  sì/,
724,722,Harvest(maize),[kpáí],/hún-   r  sì/,
725,723,"Harvest, dig up(yams)",[zíjá bùtó],/bhékó-ákwɔ kwɔ /,
726,724,"Pick, pluck (fruit)",[kpé-  r  sì],/rúpé-éɲì-rèhó-ósè/,
727,725,"Harvest, collect(honey from hive)",[hún-   r  sì],/ózárá/,
728,726,"Thresh, beat (grain)",[hún-   r  sì],/ívóm/,
729,727,Winnow (n),[bhékó-ákwɔ kwɔ ],/ɲá-ívóm hòtùtò/,
730,728,"Winnow, throw in air",[rúpé-éɲì-rèhó-ósè],/íz  n/,
731,729,Shell (groundnut),[ózárá],/ɲì íz  n òvònòʃí/,
732,730,Husk,[ívóm],/βàɲì-rèβ  i-  b  n/,
733,731,"Dosmesticate, tame",[ɲá-ívóm hòtùtò],/òpàràpárò/,
734,732,"Herd (cattle,sheep)(v)",[íz  n],/hómámé/,
735,733,Cattle pen,[ɲì íz  n òvònòʃí],/óʤóbháʤóbhéré/,
736,734,"Tether (sheep, goats)(v)",[βàɲì-rèβ  i-  b  n],/  tàrà vírí/,
737,735,Feed (animals),[òpàràpárò],/èhárà/,
738,736,"Milk (cows, goats)(v)",[hómámé],/bhètú/,
739,737,Castrate,[óʤóbháʤóbhéré],/étànò/,
740,738,Hunt,[  tàrà vírí],/étànò/,
741,739,Stalk,[èhárà],/[mɔ v  n òsìò/,
742,740,Chase,[bhètú],/r  tɔ - tànɔ /,
743,741,Track (animal),[étànò],/íɡónìfá/,
744,742,Footprint (human),[étànò],/  màr  /,
745,743,Bow (hunting),[mɔ v  n òsìò],/tɔ -   màr  /,
746,744,Arrow,[r  tɔ - tànɔ ],/èsángá/,
747,745,Poison,[íɡónìfá],/rèká-óyòm-hùmé/,
748,746,Head of arrow,[  màr  ],/èhárà/,
749,747,Lance (spear),[tɔ -   màr  ],/[mó- èhárà/,
750,748,Knife,[èsángá],/[èhárà/,
751,749,Throwing stick/throwing knife,[rèká-óyòm-hùmé],/pìná- èzènò/,
752,750,"Club,cudgel",[èhárà],/  kpá s  n/,
753,751,Hunting net,[mó- èhárà],/èvéré/,
754,752,Trap(n),[èhárà],/ràkpà ìvéré/,
755,753,Set trap,[pìná- èzènò],/rètáyò/,
756,754,Trap (animal),[  kpá s  n],/úkpó/,
757,755,"Slaughter, kill(animal for butchering)",[èvéré],/èhórò/,
758,756,Skin,[ràkpà ìvéré],/ìhárà/,
759,757,Fish,[rètáyò],/míɲínà/,
760,758,Fish dam,[úkpó],/rúɲé/,
761,759,Fish trap,[èhórò],/ nàrò/,
762,760,Fishing net,[ìhárà],/ɲìó/,
763,761,Fishhook,"[mɔ v  n òsìò/
/r  tɔ - tànɔ /
/íɡónìfá/
/  màr  /
/tɔ -   màr  /
/èsángá/
/rèká-óyòm-hùmé/
/èhárà/
/[mó- èhárà/
/[èhárà/
/pìná- èzènò/
/  kpá s  n/
/èvéré/
/ràkpà ìvéré/
/rètáyò/
/úkpó/
/èhórò/
/ìhárà/
215
763. Have, possess
764. Need (v)
765. Get, obtain
766. Give
767. Return, give back
768. Belongings
769. Owner
770. Richman
771. Poor
772. (be) rich
773. (be) poor
774. Money
775. Cowrie shell
776. Barter, exchange
777. Buy
778. Sell
779. (be) scare
780. (be) expensive
781. Price
782. Haggle, negotiate a price
783. Payment
784. Pay (for goods, services etc)
785. Gift
786. Hire
787. Beg (beg for money)
788. Borrow
789. Lend
790. Debt
791. Offer (v)
792. Accept, receive
793. Refuse
794. Tax (n)
795. Tribute
796. Inheritance
797. Inherit       -[míɲínà]",/tóró/,
764,762,Bait,[rúɲé],/íyíná/,
765,763,"Have, possess",[ nàrò],/òyínà –òvénà/,
766,764,Need (v),[ɲìó],/órómá-íyíná/,
767,765,"Get, obtain",[tóró],/órómá-hòréhòrè/,
768,766,Give,[íyíná],/èné ódèmò/,
769,767,"Return, give back",[òyínà –òvénà],/éhóréhórè/,
770,768,Belongings,[órómá-íyíná],/íkpóhó/,
771,769,Owner,[órómá-hòréhòrè],/ìtìbìdí/,
772,770,Richman,[èné ódèmò],/ókòwàré/,
773,771,Poor,[éhóréhórè],/r   b/,
774,772,(be) rich,[íkpóhó],/ tàn/,
775,773,(be) poor,[ìtìbìdí],/ùkó/,
776,774,Money,[ókòwàré],/òz  r   áfá/,
777,775,Cowrie shell,[r   b],/áfá/,
778,776,"Barter, exchange",[tàn],/áfá ókpé/,
779,777,Buy,[ùkó],/kpé/,
780,778,Sell,[òz  r   áfá],/ákpé íkpòhò/,
781,779,(be) scare,[áfá],/rúɲì/,
782,780,(be) expensive,[áfá ókpé],/rúvàrà/,
783,781,Price,[kpé],/rúkpòm/,
784,782,"Haggle, negotiate a price",[ákpé íkpòhò],/rúvàrà/,
785,783,Payment,[rúɲì],/òvàrá/,
786,784,"Pay (for goods, services etc)",[rúvàrà],/òtún/,
787,785,Gift,[rúkpòm],/ jè mò/,
788,786,Hire,[rúvàrà],/nárò/,
789,787,Beg (beg for money),[òvàrá],/vùúm/,
790,788,Borrow,[òtún],/tásì/,
791,789,Lend,[jè mò],/ínánà ósòm-ésànè/,
792,790,Debt,[nárò],/hàkpá/,
793,791,Offer (v),[vùúm],/shí-ákpá/,
794,792,"Accept, receive",[tásì],/èhàng òté/,
795,793,Refuse,[ínánà ósòm-ésànè],/óté òzè/,
796,794,Tax (n),[hàkpá],/òno -ózè/,
797,795,Tribute,[shí-ákpá],/òzìzèyà/,
798,796,Inheritance,[èhàng òté],/ézúmè/,
799,797,Inherit,[óté òzè],/ètò/,
800,798,"Journey, trip",[òno -ózè],/ètò/,
801,799,"Travel, go on a trip(v)",[òzìzèyà],/ìgbà-ètò/,
802,800,Traveler,[ézúmè],/sà-éhúb-róyò/,
803,801,Wander,[ètò],/ózàrà-ékpáísé/,
804,802,(be) lost,[ètò],/èzòng òjàrò/,
805,803,"Path, road",[ìgbà-ètò],/òjàrò/,
806,804,Fork (in path),[sà-éhúb-róyò],/vòm bànyí/,
807,805,"Crossroads, intersection",[ózàrà-ékpáísé],/òwùrà/,
808,806,Cross (river),[èzòng òjàrò],/mèjé/,
809,807,Canoe,[òjàrò],/màtèyò/,
810,808,Paddle (n),[vòm bànyí],/tàmànyì/,
811,809,Paddle (v),[òwùrà],/kpa-bìbò/,
812,810,"Bale out ( canoe, boat)",[mèjé],/wàgwàn mízùmà/,
813,811,Capsize,[màtèyò],/tòbàrétò/,
814,812,Bring,[tàmànyì],/rúkp ònò/,
815,813,"Take(away), Carryaway",[kpa-bìbò],/fìrúkpònò/,
816,814,Send(something to someone),[wàgwàn mízùmà],/rúkpòn ófúnénè/,
817,815,Carry (in arms),[tòbàrétò],/rèhónò/,
818,816,Carry (child) on back,[rúkp ònò],/ràʤúnò/,
819,817,Carry on head,[fìrúkpònò],/òdàròkpá/,
820,818,Headpad,[rúkpòn ófúnénè],/òʤòbèrè/,
821,819,Load,[rèhónò],/òʤòbèrè ònò/,
822,820,Unload,[ràʤúnò],/ìgónífà/,
823,821,War,[òdàròkpá],/ròhónò/,
824,822,Peace,[òʤòbèrè],/ígwà/,
825,823,Army,[òʤòbèrè ònò],/òtàbòrò/,
826,824,Spy (n),[ìgónífà],/ítáá/,
827,825,"Spy (v), spy on",[ròhónò],/ònò-àngbákówó/,
828,826,Sword,[ígwà/ìkpàná],/ùsà-òtá/,
829,827,Gun,[òtàbòrò],/ɔ zàm/,
830,828,Shield (n),[ítáá],/ɔ zàm/,
831,829,"Conquer, defeat",[ònò-àngbákówó],/zám/,
832,830,(be) defeated,[ùsà-òtá],/zám/,
833,831,"Prisoner, captive",[ɔ zàm],/ìhù-òwùnà/,
834,832,Plunder (a town),[ɔ zàm],/múkwà/,
835,833,Music,[zám],/tùmúkwà/,
836,834,Song,[zám],/régwòí/,
837,835,Sing,[ìhù-òwùnà],/régwòí-sébìbì/,
838,836,Hum (v),[múkwà],/ régwòí-ótéré/,
839,837,Whistle (v),[tùmúkwà],/régwòí-rèkùmá/,
840,838,Dance (n),[régwòí],/ìfíó/,
841,839,Dance (v),[régwòí-sébìbì],/rùpè/,
842,840,Big(est) drum,[régwòí-ótéré],/èwòsà/,
843,841,Small(est) drum,[régwòí-rèkùmá],/òkwà/,
844,842,Talking drum,[ìfíó],/rùpè-húná/,
845,843,Hour glass drum,[rùpè],/ìɲàɲ-ódóró/,
846,844,Flute,[èwòsà],/ódódówà/,
847,845,Horn (musical instrument),[òkwà],/húbò/,
848,846,Rattle( musical instrument),[rùpè-húná],/úkpòm/,
849,847,Play instrument,[ìɲàɲ-ódóró],/úkpòm/,
850,848,Blow(horn),[ódódówà],/ròsé-èhúnú,
851,849,Draw (picture),[húbò],/rèzín ánúpè/,
852,850,Decorate,[úkpòm],/éhùmè/,
853,851,Carve,[úkpòm],/òβàzì ràrùm òɲì/,
854,852,Play (child),[ròsé-èhúnú ógwà],/òβàzì/,
855,853,Game,[rèzín ánúpè],/íβází/,
856,854,Tobacco pipe,[éhùmè],/énábé/,
857,855,Pipe-stem,[òβàzì ràrùm òɲì],/íyángá/,
858,856,Tobacco,[òβàzì],/íyá-ósòmésáné/,
859,857,"Awe,reverence (for God)",[íβází],/íyà-ókpá-ízòí/,
860,858,God(Supreme being),[énábé],/ rùkó/,
861,859,god (lesser)fetish(spirit),[íyángá],/hòdó/,
862,860,"demon, evil spirit",[íyá-ósòmésáné],/bíyén-óyé/,
863,861,ghost (visible apparatus),[íyà-ókpá-ízòí],/bíyén-óyé/,
864,862,"Soul, spirit(of living person)",[rùkó],/bíyén-óyé/,
865,863,Spirit (of dead person)(invincible),[hòdó],/ èʤá òʤá/,
866,864,Pray,[bíyén-óyé],/òtánétáne /,
867,865,Blessing,[bíyén-óyé],/ízèng òʃí/,
868,866,"Divine, prophecy (v)",[bíyén-óyé],/e  sà òɲì/,
869,867,Prophecy (n),[èʤá òʤá],/e  sà/,
870,868,Vision(Supernatural),[òtánétáne ],/ βòvén-óbé/,
871,869,Omen,[ízèng òʃí],/éfí βòvén-óbé/,
872,870,Witchcraft,[e  sà òɲì],/égbá/,
873,871,"Bewitch, cast spell",[e  sà],/ìkpànà/,
874,872,Curse (v),[βòvén-óbé],/éfàmí/,
875,873,Curse (n),[éfí βòvén-óbé],/rèná/,
876,874,Poison (n),[égbá],/ónú bàtò/,
877,875,Poison (a person)(v),[ìkpànà],/òsá ákpaízoí/,
878,876,"Amulet,charm,fetish",[éfàmí],/β  v  n á-ízóì/,
879,877,Protect by charm,[rèná],/ébónò/,
880,878,Mask (n),[ónú bàtò],/èβón-áréhòn-ófì/,
881,879,Sacrifice,[òsá ákpaízoí],/ìhòm-òté/,
882,880,Pour libation,[β  v  n á-ízóì],/èhù-òté/,
883,881,Dwelling place of the dead(spiritual),[ébónò],/óʃì óhám àròm/,
884,882,"Traditions, custom",[èβón-áréhòn-ófì],/óʃì óhám ábà/,
885,883,Feast,[ìhòm-òté],/rèβàn òbán/,
886,884,Naming ceremony (baby),[èhù-òté],/rèβàn/,
887,885,Circumcision (male),[óʃì óhám àròm],/épó/,
888,886,Excision (female),[óʃì óhám ábà],/rèbò-á-rébán/,
889,887,Initiation (male),[rèβàn òbán],/ réβán ònùmà/,
890,888,Initiation (female),[rèβàn],/gwà-réβán/,
891,889,Marry,[épó],/òròm á réβàn/,
892,890,Marriage (state wedlock),[rèbò-á-rébán],/óbán-bà-èkàbé/,
893,891,"(be) engaged,(be)betrothed",[réβán ònùmà],/òfìb èwàíyò/,
894,892,Bride price(for bride‟s family),[gwà-réβán],/réβán-ókpówà/,
895,893,Wedding (ceremony),[òròm á réβàn],/rókpà ònáng/,
896,894,Bride,[óbán-bà-èkàbé],/hozín-okú/,
897,895,Groom,[òfìb èwàíyò],/ ósá ònò/,
898,896,Polygamy,[réβán-ókpówà],/rófém ófì/,
899,897,Adultery,[rókpà ònáng],/ìkpá/,
900,898,Divorce (v),[hozín-okú],/òɲì/,
901,899,Funeral (at occasion of death),[ósá ònò],/ròkpà/,
902,900,Mourning,[rófém ófì],/ìkpà/,
903,901,"Wail,ulutate (at funeral)",[ìkpá],/  z  n/,
904,902,"Condole,comfort (v)",[òɲì],/  z  n/,
905,903,Corpse,[ròkpà],/   vɔ m-réhót/,
906,904,Bury,[ìkpà],/òmàrévòm/,
907,905,Grave,[  z  n],/gwàn-   vɔ m/,
908,906,Cemetery,[  z  n],/ívóm/,
909,907,Animal,[  vɔ m-réhót],/ìβén/,
910,908,Ox,[òmàrévòm],/bítóp/,
911,909,Bull,[gwàn-   vɔ m],/òmàré ébén/,
912,910,Cow(female),[ívóm],/gwàn- ébén/,
913,911,Calf,[ìβén],/étónó/,
914,912,Herd(of cattle),[bítóp],/étónó/,
915,913,Goat,[òmàré ébén],/gwàn-étónó/,
916,914,"He-goat, billy goat",[gwàn- ébén],/ítónó/,
917,915,"She goat, nanny goat",[étónó],/bìyóhò/,
918,916,Kid,[étónó],/òròmá íhòhò/,
919,917,Sheep,[gwàn-étónó],/òmárà íhòhò/,
920,918,Ram,[ítónó],/gwàn-á- íhòhò/,
921,919,Ewe,[bìyóhò],/tòrótòró/,
922,920,"Flock(of sheep, goats)",[òròmá íhòhò],/βìhùrá-nfán/,
923,921,Chicken,[òmárà íhòhò],/bìhót àhárárá/,
924,922,Roaster (cock),[gwàn-á- íhòhò],/ìnyáyá/,
925,923,Hen,[tòrótòró],/ìnyáyá/,
926,924,Chick,[βìhùrá-nfán],/òròmá- nyányá/,
927,925,Turkey,[bìhót àhárárá],/omare- nyányá/,
928,926,Guinea fowl,[ìnyáyá],/ìnyáyá/,
929,927,Duck,[ìnyáyá],/ékómbá/,
930,928,Camel,[òròmá- nyányá],/òròmá- ékómbá/,
931,929,Horse,[omare- nyányá],/òmàrì- ékómbá/,
932,930,Stallion,[ìnyáyá],/ gwàn- ékómbá/,
933,931,Mare (female horse),[ékómbá],/èfá/,
934,932,Donkey,[òròmá- ékómbá],/gwàn-èfá/,
935,933,Pig,[òmàrì- ékómbá],/ékándèm/,
936,934,Boar (male pig),[gwàn- ékómbá],/gwàn- ékándèm/,
937,935,Sow (female pig),[èfá],/éɲí réhórósé/,
938,936,Piglet,[ -[gwàn-èfá],/éɲí-ànyí/,
939,937,Dog,[ékándèm],/èvòm àrèhótò/,
940,938,Pup,[gwàn- ékándèm],/étéméré/,
941,939,Cat,[éɲí réhórósé],/èfò/,
942,940,Kitten,[éɲí-ànyí],/èfò/,
943,941,Elephant,[èvòm àrèhótò],/àdágéfù/,
944,942,Hippopotamus,[étéméré],/énébó/,
945,943,Buffalo,[èfò],/òkpó nkpò/,
946,944,Giraffe,[èfò],/èkpí/,
947,945,Monkey,[àdágéfù],/èhúbò/,
948,946,Baboon,[énébó],/íkpí-a-ràdè/,
949,947,Jackal,[òkpó nkpò],/βìgbísè/,
950,948,Antelope,[èkpí],/èvíví/,
951,949,Mouse,[èhúbò],/èzèm/,
952,950,Rat,[íkpí-a-ràdè],/èkàndèm,
953,951,"Cane rat, cutting grass, grasscutter",[βìgbísè],/èkpè/,
954,952,Palm rat,[èvíví],/èkpè/,
955,953,Squirrel,[èzèm],/ékpézèn/,
956,954,Porcupine,[èkàndèm arehot],,missing one or more fields in source extraction
957,955,Bat,[èkpè],,missing one or more fields in source extraction
958,956,Wild cat,[èkpè],,missing one or more fields in source extraction
959,957,Leopard,[ékpézèn],,missing one or more fields in source extraction
960,958,Lion,,,missing one or more fields in source extraction
961,959,Hide (of animal),,,missing one or more fields in source extraction
962,960,Fur,,,missing one or more fields in source extraction
