item_number,source_number_in_text,english_gloss,phonetic_form,phonemic_form,alignment_note
305,304,(be) patient,[ìkàròfèm òyíná],/ìkàròfèm òyíná/,
306,305,(be) Impatient,[hòwómɔ ],/hòwómɔ /,
307,306,"(be) restless, (be) unsettled",[rétó-óʒérè],/rétó-óʒérè/,
308,307,(be) stubborn,[rárúm],/rárúm/,
309,308,Reputation,[èʒéré],/èʒéré/,
310,309,"Hardship, distress",[èʒéré],/èʒéré/,
311,310,(be) difficult,[úfèn],/úfèn/,
312,311,Suffer,[òzíné],/òzíné/,
313,312,Obstruct,[íkpáná],/íkpáná/,
314,standalone,202,[mòvén-a-rétòn],/mòvén-a-rétòn/,
315,313,Stumbling block,[mòvén-a-rétòn],/mòvén-a-rétòn/,
316,314,Danger,[òsòm   sán  ],/òsòm   sán  /,
317,315,"Problem, trouble",[ísòyè],/ísòyè/,
318,316,Human being,[òróm],/òróm/,
319,317,Self,[gwà],/gwà/,
320,318,Man (male),[óhárárá],/óhárárá/,
321,319,Woman,[ùtùm],/ùtùm/,
322,320,White man,[kwòkwó],/kwòkwó/,
323,321,Fetus,[fòná âvá],/fòná âvá/,
324,322,Baby,[gwàn],/gwàn/,
325,323,Twin,[gwàn óróm],/gwàn óróm/,
326,324,Child,[gwàn á gwà],/gwàn á gwà/,
327,325,Boy,[ònòtùm],/ònòtùm/,
328,326,Girl,[ gwàgwóróm- òzèn],/gwàgwóróm-òzèn/,
329,327,Adult,[ótùm ónò],/ótùm ónò/,
330,328,Virgin,[ɔ nɔ  àgwé],/ɔ nɔ  àgwé/,
331,329,Old person,[bhànɔ  bínàì],/bànɔ  bínàì/,
332,330,Relative,[ètè árá mmá gwó kpòí],/ètè árá mmá gwó kpòí/,
333,331,Ancestor,[èté],/èté/,
334,332,Grandparent,[mmá],/mmá/,
335,333,Father,[òtùmà gwégwóròm],/òtùmà gwégwóròm,
336,334,Mother,[òtùmà gwé étá nùm],/òtùmà gwé étá nùm/,
337,335,Brother (elder/younger),[òtùmà gwé gwágwa],/òtùmà gwé gwágwa/,
338,336,Father‟s brother (uncle),[òtùmà gwé mmâ gwé],/òtùmà gwé mmâ gwé/,
339,337,Sister (elder/younger),[òtùmà gwé mmâ gwégwa],/òtùmà gwé mmâ,
340,338,Mother‟s brother (uncle),[òtùmà gwé ette gwagwa],/òtùmà gwé ette,
341,339,Mother‟s sister (aunt),[òtùmà gwê],/òtùmà gwê/,
342,340,Father‟s sister (aunt),[gwà ná fùmètò],/gwà ná fùmètò/,
343,341,Cousin,[aábà-ábè],/aábà-ábè/,
344,342,Firstborn,[gwàn-óróm],/gwàn-óróm/,
345,343,Descendant,[gwàn-ágwà],/gwàn-ágwà/,
346,344,Son,[gwàn-ágwán],/òtùmà gwén/,
347,345,Daughter,[òtùmà gwén],/rèhòn/,
348,346,Grandchild,[rèhòn],/òhá ágwén/,
349,347,Nephew,[òhá ágwén],/àbóróm/,
350,348,Name,[àbóróm],/òròm/,
351,349,Namesake,[òròm],/gwa/,
352,350,"In-law, relative by marriage",[gwa],/ọvù-ákwé/,
353,351,Husband,[ọvù-ákwé],/àsórómá àgwé/,
354,352,Wife,[àsórómá àgwé],/àkágwá àgwé/,
355,353,"Fellow-wife, co-wife",[àkágwá àgwé],/òtùmà gwórómá àgwé/,
356,354,Father-in-law,[òtùmà gwórómá àgwén],/òtùmà gwórómá àgwén/,
357,355,Mother-in-law,[òtùmà gwórómá àgwén],/gwàn gwórómá àgwén/,
358,356,Brother-in-law,[gwàn gwórómá àgwén],/gwà gwór má ókpókpó/,
